viewing_id,client_id,agent_id,property_id,viewing_date
106,169,29,499,2023-08-19
107,42,9,205,2023-10-10
108,628,25,1593,2022-06-11
109,17,32,166,2022-01-07
110,8,12,1897,2022-04-02
111,724,42,1216,2022-10-18
112,427,45,1654,2023-05-03
113,709,9,423,2022-05-27
114,656,18,1072,2023-04-07
115,422,16,1922,2022-06-28
116,626,45,78,2023-09-03
117,185,46,1024,2023-09-19
118,974,6,1285,2022-11-05
119,357,27,10,2023-07-26
120,242,13,241,2023-06-27
121,98,40,742,2023-07-07
122,520,15,951,2023-10-04
123,676,14,567,2022-02-24
124,199,8,1632,2022-06-02
125,702,31,1019,2022-06-30
126,164,43,1890,2022-02-14
127,56,42,746,2022-10-19
128,215,28,515,2022-12-09
129,632,49,929,2022-02-14
130,107,48,108,2023-07-05
131,181,11,1609,2022-01-30
132,497,33,238,2022-03-14
133,917,16,1478,2023-04-01
134,607,38,668,2023-03-06
135,204,48,1387,2022-11-30
136,236,50,226,2022-11-30
137,234,7,486,2023-02-27
138,891,13,770,2022-08-14
139,76,31,1199,2023-05-12
140,56,28,297,2022-08-10
141,951,40,932,2022-07-02
142,397,24,280,2023-04-14
143,738,13,1295,2023-01-03
144,999,18,415,2022-12-10
145,131,3,1418,2023-08-06
146,62,18,280,2022-04-24
147,873,30,940,2023-03-05
148,176,49,704,2022-08-14
149,908,19,1237,2022-06-10
150,809,41,1952,2023-09-19
151,928,11,1184,2023-07-21
152,876,15,178,2023-02-26
153,878,34,1002,2022-08-10
154,606,31,1715,2023-04-19
155,286,1,1496,2023-03-15
156,754,16,508,2022-12-02
157,445,38,456,2023-08-29
158,969,10,1872,2023-08-11
159,920,1,856,2022-02-15
160,42,31,1503,2023-06-01
161,35,28,1088,2023-02-08
162,491,45,1683,2022-04-11
163,464,32,493,2022-03-27
164,572,49,26,2023-02-21
165,973,14,272,2023-01-03
166,303,16,1327,2022-04-03
167,17,31,1371,2022-11-09
168,166,46,941,2023-08-08
169,766,38,50,2023-04-11
170,475,50,284,2023-02-20
171,190,24,1284,2023-04-21
172,721,41,3,2023-10-05
173,73,25,1830,2022-12-07
174,544,3,608,2023-03-13
175,771,18,1430,2023-09-20
176,556,37,1628,2022-08-01
177,807,44,166,2023-09-28
178,902,22,1507,2022-02-26
179,528,44,746,2022-02-22
180,114,25,749,2023-04-22
181,634,3,749,2023-01-11
182,180,42,1145,2022-03-10
183,575,46,1585,2022-07-29
184,142,22,489,2023-07-07
185,117,42,980,2023-08-18
186,893,45,430,2022-08-19
187,329,23,1839,2022-10-01
188,516,44,867,2022-10-11
189,56,5,764,2022-12-20
190,464,32,1027,2023-06-24
191,850,8,963,2023-06-29
192,695,35,1843,2022-10-27
193,463,40,754,2023-11-21
194,969,45,1657,2022-03-09
195,193,30,179,2022-03-24
196,401,12,591,2022-03-20
197,112,11,566,2022-04-25
198,714,10,1017,2022-06-04
199,896,14,1067,2023-10-05
200,24,19,854,2023-11-30
201,555,9,971,2022-12-22
202,431,29,1511,2023-10-23
203,22,19,388,2022-03-06
204,23,15,1710,2023-06-17
205,661,22,844,2023-08-16
206,352,42,1324,2022-12-01
207,498,38,1364,2023-06-27
208,863,36,912,2023-04-14
209,312,37,271,2022-11-10
210,176,17,465,2023-05-11
211,381,19,1577,2022-02-18
212,152,23,583,2023-04-12
213,980,11,1267,2022-06-14
214,729,35,585,2022-07-06
215,997,12,1719,2023-11-14
216,814,10,331,2022-09-01
217,120,3,649,2023-08-12
218,130,29,534,2023-01-14
219,189,14,1152,2022-02-05
220,682,21,705,2022-06-01
221,382,29,1106,2022-06-16
222,547,20,249,2022-01-26
223,415,32,1574,2022-05-29
224,971,30,1901,2022-11-24
225,160,1,1987,2023-07-14
226,1000,33,679,2023-10-25
227,723,19,971,2022-10-24
228,993,49,1175,2023-11-14
229,151,37,1493,2023-03-29
230,347,45,231,2023-05-06
231,922,3,286,2023-11-26
232,565,8,631,2022-01-26
233,412,40,1723,2022-08-14
234,457,23,190,2022-12-01
235,57,39,1314,2022-07-19
236,598,34,455,2022-10-12
237,201,2,172,2023-07-06
238,870,29,1387,2023-11-19
239,981,6,1999,2023-06-09
240,404,13,1005,2022-11-22
241,618,39,1048,2022-02-27
242,931,43,740,2023-02-12
243,152,46,1749,2023-03-14
244,379,25,764,2022-01-13
245,292,23,720,2022-11-12
246,457,36,180,2022-08-09
247,746,29,1519,2023-03-02
248,823,29,592,2022-06-17
249,826,47,1988,2023-03-11
250,747,27,286,2023-08-25
251,613,6,295,2022-08-01
252,311,31,1777,2023-06-22
253,344,5,1912,2023-08-28
254,775,25,182,2022-01-07
255,420,41,1873,2022-10-07
256,425,12,1139,2023-04-19
257,728,37,1547,2022-05-21
258,205,12,1705,2023-01-26
259,297,36,1005,2022-02-13
260,843,20,1710,2023-08-23
261,312,32,1146,2023-04-20
262,230,2,1621,2022-01-03
263,158,17,615,2023-10-18
264,855,41,968,2022-05-08
265,670,43,1829,2022-10-22
266,428,12,1008,2023-10-23
267,251,2,245,2022-10-11
268,505,5,1227,2023-01-06
269,596,31,1159,2023-03-23
270,890,17,1287,2023-05-03
271,998,45,1676,2022-05-03
272,383,33,1502,2023-08-13
273,18,17,334,2023-08-19
274,60,10,655,2023-04-18
275,900,45,278,2023-01-01
276,168,4,559,2023-01-05
277,430,41,1868,2022-12-31
278,50,19,598,2023-06-27
279,655,5,1053,2022-07-18
280,785,41,376,2022-04-07
281,614,49,343,2023-07-11
282,331,21,1694,2022-11-05
283,278,44,1430,2023-01-07
284,99,35,1188,2022-12-27
285,844,10,27,2022-05-21
286,531,19,764,2023-05-12
287,422,22,1887,2022-06-16
288,105,14,317,2023-05-31
289,227,13,1629,2023-07-27
290,629,45,1703,2023-06-23
291,867,35,1460,2023-07-19
292,720,49,1644,2022-04-27
293,428,30,1877,2022-03-20
294,120,9,1892,2022-01-18
295,492,23,639,2023-01-07
296,143,29,1823,2023-09-04
297,536,49,1987,2022-12-17
298,177,46,624,2022-01-30
299,763,8,456,2022-05-12
300,878,45,292,2022-08-21
301,315,9,430,2022-05-14
302,81,28,1415,2022-04-25
303,80,2,1587,2023-05-11
304,776,28,88,2022-07-21
305,111,3,1625,2023-11-07
306,526,38,122,2023-04-26
307,122,17,89,2022-03-09
308,309,43,22,2022-04-09
309,802,8,1885,2023-09-09
310,211,38,1846,2022-07-24
311,190,43,720,2022-01-30
312,93,10,1733,2022-10-12
313,972,38,713,2022-12-27
314,165,33,1600,2023-09-20
315,248,33,1168,2022-03-11
316,102,38,1564,2022-01-15
317,542,14,1466,2022-07-16
318,988,19,352,2023-07-05
319,5,47,203,2022-08-08
320,943,33,1744,2023-05-02
321,376,45,1208,2022-07-09
322,451,44,1962,2022-04-20
323,186,23,778,2023-03-11
324,220,33,467,2023-02-22
325,116,49,644,2022-05-07
326,478,8,1065,2022-05-20
327,508,49,740,2022-10-23
328,571,47,84,2022-03-26
329,336,32,237,2023-01-30
330,291,30,1230,2022-11-16
331,704,29,463,2023-07-22
332,418,19,1752,2023-03-15
333,194,5,1833,2023-05-03
334,962,44,753,2022-07-03
335,14,44,1007,2023-11-20
336,108,26,898,2023-06-20
337,675,44,175,2022-05-03
338,147,26,821,2023-08-28
339,105,48,1895,2022-06-22
340,67,24,1998,2022-07-23
341,347,13,1219,2023-02-18
342,126,15,1717,2023-03-11
343,743,32,571,2023-08-19
344,608,18,1549,2023-10-22
345,966,26,730,2023-05-03
346,683,39,1946,2023-02-19
347,497,33,572,2022-05-31
348,787,30,222,2022-05-06
349,257,32,1019,2022-08-25
350,644,9,61,2022-04-12
351,756,4,1701,2022-03-11
352,511,44,55,2022-07-03
353,392,39,1392,2022-12-01
354,157,20,1274,2023-10-01
355,99,49,157,2023-11-08
356,770,34,1572,2023-05-20
357,812,30,414,2022-10-28
358,678,32,1005,2023-06-01
359,268,35,704,2023-07-08
360,560,2,1951,2022-02-02
361,441,8,786,2023-04-06
362,323,25,907,2023-04-16
363,37,3,363,2023-07-25
364,676,50,621,2022-06-18
365,504,28,276,2022-11-16
366,733,25,999,2022-04-23
367,583,44,1005,2023-11-07
368,568,44,1105,2023-08-09
369,482,31,1152,2022-06-10
370,519,4,802,2022-09-27
371,507,38,1989,2023-01-22
372,632,44,723,2022-10-19
373,329,4,58,2023-08-28
374,47,9,1715,2023-01-11
375,358,48,1196,2022-01-28
376,784,41,699,2023-01-25
377,100,28,707,2023-01-01
378,422,23,116,2023-11-09
379,251,16,481,2023-10-26
380,320,38,174,2022-03-09
381,890,20,235,2022-12-12
382,174,2,1103,2022-11-30
383,39,30,1348,2023-03-09
384,582,33,1847,2023-03-08
385,274,2,1426,2023-04-26
386,603,2,649,2023-01-22
387,585,25,661,2023-08-10
388,101,32,205,2023-11-23
389,211,22,1018,2023-05-30
390,831,49,1367,2022-12-14
391,171,40,614,2023-01-08
392,993,28,414,2023-05-24
393,651,5,1722,2023-07-03
394,220,19,544,2022-02-18
395,305,37,824,2022-08-20
396,640,48,1962,2022-04-05
397,735,38,195,2023-08-30
398,345,18,138,2023-08-04
399,821,34,974,2023-03-14
400,215,23,1630,2022-03-20
401,668,20,1034,2022-11-04
402,444,43,1106,2022-11-17
403,205,27,824,2022-09-15
404,640,33,929,2023-11-19
405,782,36,370,2022-01-20
406,643,46,1058,2022-07-11
407,591,32,437,2023-11-08
408,986,48,1922,2023-04-24
409,275,41,1092,2023-09-22
410,874,50,1858,2023-03-21
411,958,37,1489,2023-10-04
412,62,34,411,2023-01-09
413,474,10,493,2022-06-04
414,765,44,1568,2022-11-04
415,865,28,841,2022-11-23
416,881,5,1299,2022-07-28
417,867,27,547,2022-10-21
418,662,11,526,2023-09-08
419,242,26,489,2022-04-27
420,154,13,57,2022-09-09
421,817,20,951,2023-05-13
422,574,28,865,2023-10-25
423,928,3,414,2022-06-13
424,280,9,60,2022-09-22
425,809,18,1349,2023-07-18
426,181,42,1746,2022-02-13
427,987,47,996,2022-01-21
428,57,6,643,2023-09-09
429,306,5,1845,2023-02-21
430,919,24,1376,2023-11-05
431,907,6,813,2022-05-24
432,242,8,1170,2023-05-28
433,956,8,1069,2023-11-12
434,849,38,1945,2023-06-22
435,258,32,1812,2022-04-03
436,244,39,251,2022-11-17
437,338,38,1510,2023-02-04
438,826,48,1524,2022-08-30
439,958,28,447,2022-05-28
440,110,12,439,2022-10-09
441,451,27,521,2023-08-27
442,58,32,1093,2023-01-19
443,717,8,649,2023-07-13
444,434,31,1399,2022-09-10
445,987,18,1802,2022-05-29
446,372,31,1466,2023-01-12
447,842,20,44,2023-10-23
448,991,39,72,2023-11-10
449,819,4,1415,2023-11-19
450,246,17,1132,2023-01-29
451,317,41,1963,2023-01-07
452,925,44,250,2023-07-02
453,888,16,1757,2023-03-30
454,398,1,1864,2023-02-07
455,950,17,617,2022-04-03
456,959,49,483,2022-11-01
457,216,11,1876,2023-03-26
458,647,21,1802,2023-10-22
459,417,3,562,2022-03-24
460,843,50,1927,2023-05-19
461,483,48,846,2022-12-07
462,735,28,1796,2022-04-13
463,845,11,1431,2022-09-25
464,519,5,721,2023-03-07
465,617,47,1666,2023-07-15
466,756,21,929,2022-01-29
467,781,4,1314,2023-10-19
468,189,41,909,2023-10-19
469,140,1,821,2022-07-24
470,644,20,643,2023-08-13
471,85,8,324,2022-09-13
472,529,46,1986,2023-10-27
473,782,9,1735,2023-09-01
474,703,27,1624,2022-11-24
475,463,31,1789,2022-05-17
476,267,12,1408,2023-08-31
477,847,21,1638,2022-10-16
478,204,6,849,2023-01-12
479,187,26,1795,2023-01-22
480,968,37,460,2022-01-22
481,971,2,1891,2023-07-26
482,663,40,1284,2022-08-23
483,929,6,1996,2023-04-19
484,204,17,1437,2022-06-22
485,51,26,1266,2023-03-16
486,615,17,306,2022-04-02
487,982,24,349,2023-08-04
488,121,1,1472,2023-06-23
489,446,50,1885,2023-04-10
490,848,44,1013,2022-05-02
491,230,46,417,2022-07-15
492,969,18,590,2023-05-22
493,392,9,884,2022-07-31
494,615,14,1688,2022-10-17
495,745,44,388,2023-03-05
496,185,27,1623,2022-05-30
497,30,19,2000,2022-09-26
498,242,40,924,2022-09-12
499,379,38,1402,2023-10-25
500,470,6,22,2023-04-26
501,137,21,1996,2023-02-12
502,704,14,1461,2023-01-28
503,726,28,1508,2023-09-04
504,263,5,196,2023-07-25
505,61,4,682,2022-08-29
506,483,23,1242,2023-11-18
507,991,39,1454,2022-02-16
508,6,17,1034,2023-09-27
509,391,20,809,2023-11-19
510,380,9,1983,2023-07-27
511,43,38,368,2022-09-24
512,174,33,1010,2022-12-14
513,899,30,271,2022-04-02
514,325,46,1087,2023-03-20
515,146,17,240,2022-11-17
516,46,9,1023,2022-10-15
517,766,24,1897,2023-03-17
518,290,17,1256,2022-09-28
519,530,21,893,2022-06-18
520,324,48,1007,2022-06-04
521,570,43,1304,2023-03-27
522,55,13,305,2022-02-25
523,236,12,74,2023-04-27
524,267,11,1446,2023-04-24
525,447,8,1834,2023-05-22
526,42,29,731,2023-07-29
527,497,30,1010,2022-04-26
528,867,47,1776,2022-06-01
529,127,23,192,2022-07-28
530,890,19,370,2022-06-22
531,768,33,1685,2022-10-07
532,577,43,1200,2022-08-06
533,598,1,1078,2023-08-08
534,185,27,1886,2022-03-20
535,253,50,1021,2023-11-25
536,97,22,54,2022-10-19
537,698,44,250,2023-02-08
538,383,38,1903,2022-04-19
539,858,21,315,2022-01-30
540,84,30,1702,2023-11-07
541,492,30,1287,2022-10-03
542,609,43,12,2022-12-04
543,994,3,1344,2023-09-30
544,974,29,666,2023-08-06
545,133,14,1768,2022-02-19
546,821,42,580,2022-11-27
547,818,4,1524,2022-03-14
548,561,39,782,2022-04-05
549,409,17,365,2022-09-03
550,989,50,1773,2023-02-13
551,92,2,1746,2022-08-02
552,167,25,1597,2023-02-17
553,292,42,1542,2023-11-01
554,158,8,612,2023-05-18
555,821,28,1508,2022-11-14
556,926,44,1236,2022-05-15
557,368,43,197,2023-01-12
558,525,13,1003,2023-04-02
559,907,25,976,2022-10-02
560,577,39,867,2022-04-03
561,775,28,1661,2023-01-13
562,629,12,890,2023-10-08
563,437,6,83,2023-06-10
564,350,30,1386,2022-08-18
565,664,44,1462,2022-06-08
566,954,32,1080,2023-10-07
567,663,34,172,2022-10-25
568,480,28,163,2023-05-05
569,308,10,262,2023-12-02
570,925,20,1724,2022-09-12
571,536,28,606,2023-08-06
572,49,36,157,2022-02-16
573,526,7,1046,2023-03-12
574,423,7,952,2023-11-08
575,738,37,1665,2022-09-17
576,364,17,1200,2022-03-25
577,788,33,34,2022-04-27
578,759,43,948,2022-07-03
579,806,12,1727,2023-02-07
580,47,6,853,2022-11-01
581,322,38,1483,2023-04-11
582,776,43,922,2023-10-01
583,828,17,700,2022-07-11
584,217,12,161,2023-09-11
585,266,44,218,2023-03-21
586,548,2,12,2023-02-09
587,120,1,352,2023-11-03
588,489,30,1417,2023-02-19
589,890,43,1978,2023-09-09
590,744,32,621,2023-09-26
591,833,40,739,2023-11-21
592,987,45,1383,2023-02-09
593,824,20,180,2022-05-09
594,139,1,391,2022-04-25
595,836,2,1426,2022-07-12
596,880,2,429,2023-05-08
597,665,10,1331,2022-09-05
598,447,41,1758,2023-07-06
599,196,6,617,2023-04-20
600,152,31,865,2022-01-23
601,120,11,1849,2022-06-06
602,757,45,912,2023-05-12
603,483,2,1761,2023-04-06
604,600,16,413,2022-10-29
605,584,26,105,2022-12-08
606,9,7,1292,2023-03-19
607,426,32,1510,2023-08-16
608,611,47,1136,2022-10-25
609,38,32,819,2023-05-13
610,526,38,1485,2023-09-19
611,958,44,1854,2023-05-15
612,238,46,125,2023-06-25
613,20,28,1181,2022-11-20
614,567,5,549,2023-10-26
615,428,31,240,2023-05-22
616,638,42,711,2023-04-05
617,715,28,43,2022-06-15
618,295,47,394,2023-04-26
619,353,29,476,2023-06-04
620,225,38,1862,2022-12-14
621,944,39,1748,2023-11-04
622,480,9,1809,2022-10-28
623,741,46,800,2023-03-03
624,854,44,1337,2023-01-04
625,816,31,1638,2022-06-15
626,637,14,579,2022-03-30
627,684,31,265,2022-06-27
628,205,11,1241,2023-05-19
629,104,27,1932,2023-05-21
630,311,16,429,2023-07-25
631,49,2,735,2022-09-25
632,366,44,325,2022-06-28
633,848,33,66,2022-03-07
634,346,28,234,2023-09-25
635,233,8,1151,2022-08-18
636,499,17,697,2022-12-30
637,788,3,1578,2023-07-25
638,274,10,1748,2023-06-12
639,619,43,214,2022-02-21
640,949,29,1637,2023-04-14
641,986,49,228,2022-04-19
642,801,40,1249,2022-04-15
643,844,36,86,2023-06-04
644,108,11,1291,2022-05-01
645,892,14,1866,2023-01-06
646,161,47,599,2023-03-29
647,781,33,1021,2022-04-12
648,158,42,745,2022-12-09
649,839,9,252,2022-07-26
650,450,27,1576,2022-01-07
651,252,31,700,2022-10-21
652,518,11,175,2022-09-30
653,382,46,1546,2023-03-01
654,370,41,1362,2022-09-09
655,156,49,1544,2023-06-27
656,432,15,283,2023-03-16
657,424,27,1840,2023-04-15
658,975,34,1628,2023-11-30
659,371,2,907,2022-05-30
660,789,1,1470,2023-06-14
661,967,5,174,2022-12-13
662,323,26,1582,2022-06-18
663,445,4,806,2022-02-07
664,677,42,310,2023-08-12
665,60,41,1461,2023-11-08
666,897,34,1993,2022-10-30
667,430,26,1815,2023-11-29
668,718,36,1790,2022-11-08
669,739,48,643,2022-12-19
670,9,18,1844,2023-06-25
671,626,10,1435,2023-02-18
672,457,42,421,2023-07-12
673,640,40,1336,2023-03-29
674,715,23,1818,2023-10-27
675,415,50,405,2022-11-05
676,87,3,1101,2022-12-09
677,400,47,1473,2022-05-10
678,533,35,582,2022-08-07
679,96,33,1131,2022-11-16
680,534,22,1551,2023-10-13
681,164,2,58,2023-07-07
682,607,17,495,2022-11-08
683,744,28,1035,2022-04-24
684,750,4,1724,2023-01-17
685,266,41,1040,2022-12-29
686,127,4,1550,2023-10-29
687,964,8,920,2022-11-02
688,587,48,11,2023-04-10
689,348,16,1650,2023-08-19
690,580,46,1832,2023-10-05
691,682,35,1730,2023-09-02
692,240,23,613,2022-10-19
693,683,46,1174,2023-11-20
694,144,46,774,2023-06-17
695,756,16,216,2022-12-02
696,529,38,395,2023-01-05
697,466,7,301,2023-03-12
698,849,27,168,2022-04-05
699,64,28,1820,2022-05-14
700,488,14,914,2022-03-21
701,379,44,1078,2023-02-17
702,603,36,1063,2023-02-09
703,893,17,1197,2023-05-26
704,652,28,902,2023-05-17
705,750,27,1688,2022-06-16
706,148,33,261,2023-05-12
707,729,30,265,2023-06-10
708,884,34,242,2022-08-06
709,467,31,67,2022-06-10
710,967,36,757,2022-05-02
711,617,27,226,2022-05-04
712,379,37,594,2022-02-11
713,536,10,242,2023-01-16
714,313,24,622,2022-10-29
715,498,2,1621,2022-05-27
716,146,38,864,2022-02-19
717,960,20,1821,2022-10-18
718,221,12,1678,2023-05-16
719,3,8,1122,2022-12-24
720,70,3,856,2023-05-08
721,587,20,1159,2023-04-09
722,922,22,1601,2023-01-22
723,487,47,1708,2023-09-13
724,136,49,284,2023-06-01
725,652,30,1560,2023-04-06
726,684,29,306,2022-11-30
727,92,40,1361,2023-10-01
728,420,25,477,2023-02-09
729,348,35,94,2023-11-18
730,912,29,1508,2022-10-12
731,662,6,1774,2022-06-19
732,725,2,1172,2023-10-08
733,816,50,1449,2022-11-13
734,575,42,254,2023-10-22
735,573,6,395,2023-09-26
736,555,37,1552,2022-02-24
737,981,37,1069,2022-07-13
738,769,31,1030,2022-01-20
739,124,43,1918,2023-06-29
740,185,2,564,2022-07-30
741,252,46,1719,2023-08-17
742,455,6,1653,2023-07-01
743,622,21,823,2023-08-27
744,47,32,1766,2022-01-24
745,349,28,370,2023-03-01
746,25,34,650,2023-01-27
747,264,6,235,2022-04-12
748,555,11,585,2022-05-28
749,188,17,1574,2022-04-02
750,158,20,1951,2023-02-22
751,695,11,121,2023-09-22
752,985,21,372,2022-01-28
753,731,4,611,2023-02-04
754,102,21,292,2023-02-27
755,915,21,529,2023-01-20
756,965,8,107,2022-07-27
757,246,49,1223,2023-08-24
758,243,32,1042,2023-06-01
759,395,8,552,2022-03-04
760,326,30,1133,2023-02-21
761,68,31,60,2023-02-22
762,649,15,1872,2022-01-20
763,276,36,1974,2023-08-24
764,692,7,505,2023-07-23
765,668,9,624,2023-08-05
766,417,29,172,2023-10-14
767,513,14,1604,2022-05-26
768,383,35,345,2022-09-09
769,551,28,1969,2023-07-23
770,463,3,3,2023-04-21
771,985,40,593,2023-10-31
772,996,11,2,2022-03-03
773,956,31,560,2023-09-05
774,257,44,779,2022-12-26
775,863,41,436,2023-08-23
776,861,33,577,2022-02-16
777,166,48,1094,2023-07-31
778,72,20,184,2023-02-09
779,716,8,1701,2022-05-24
780,743,36,573,2023-03-19
781,216,40,1034,2022-11-22
782,906,44,1937,2022-12-17
783,651,17,1542,2023-04-09
784,280,16,1357,2022-11-26
785,350,14,942,2023-09-06
786,337,2,1872,2022-05-17
787,662,1,1247,2023-05-03
788,5,1,1378,2022-06-27
789,424,36,1834,2023-05-16
790,781,26,1103,2022-03-25
791,807,42,1334,2022-03-21
792,552,2,1828,2023-11-19
793,456,44,253,2022-12-28
794,996,25,1695,2023-09-08
795,367,25,363,2022-01-09
796,128,30,759,2022-07-17
797,456,1,454,2022-01-21
798,777,18,1394,2023-01-02
799,197,6,1672,2023-09-21
800,641,20,1656,2022-08-15
801,240,32,1982,2023-01-07
802,38,18,1010,2023-09-13
803,215,1,402,2023-10-16
804,406,8,1782,2022-10-12
805,583,33,1012,2022-06-24
806,566,13,1352,2023-08-03
807,689,44,1235,2023-08-02
808,180,5,1205,2022-05-12
809,764,5,261,2022-09-23
810,956,37,1753,2022-08-22
811,903,34,1493,2022-10-08
812,197,44,48,2023-11-26
813,546,40,518,2023-11-29
814,574,30,5,2023-03-14
815,657,44,1932,2023-10-28
816,54,21,886,2023-02-21
817,281,8,1393,2023-06-15
818,478,32,741,2023-06-14
819,778,3,1811,2022-08-18
820,49,18,1881,2023-03-07
821,546,29,648,2022-01-06
822,402,13,686,2022-03-25
823,902,37,1655,2022-01-26
824,756,15,1413,2023-03-10
825,981,5,1879,2022-09-13
826,202,11,675,2022-11-15
827,65,41,1281,2022-04-10
828,29,31,885,2022-01-25
829,607,41,1916,2022-12-09
830,861,17,507,2022-04-21
831,485,16,1964,2022-12-15
832,853,4,1683,2022-12-08
833,533,16,1933,2022-03-16
834,795,39,1269,2023-03-26
835,783,7,1281,2023-04-03
836,593,8,176,2022-03-04
837,939,3,773,2022-11-17
838,912,45,134,2022-05-11
839,64,29,113,2022-11-05
840,626,41,885,2022-03-09
841,105,44,115,2023-07-27
842,54,19,1741,2023-01-26
843,412,7,1265,2023-02-25
844,239,39,1613,2023-11-07
845,639,1,929,2023-01-29
846,476,28,1803,2023-09-28
847,635,7,696,2023-10-29
848,961,44,1604,2022-01-27
849,465,34,673,2023-08-25
850,198,7,211,2022-01-13
851,610,46,139,2023-08-31
852,809,13,1853,2023-08-10
853,130,41,1043,2022-09-20
854,364,27,986,2023-09-28
855,456,12,498,2022-05-21
856,817,3,124,2022-05-11
857,320,38,893,2023-06-10
858,983,42,1545,2023-01-02
859,319,38,1813,2023-07-09
860,795,10,302,2023-04-26
861,317,39,703,2022-10-26
862,378,1,1061,2023-08-24
863,674,44,297,2022-02-28
864,244,33,1678,2023-07-27
865,880,4,865,2022-12-19
866,201,13,1312,2022-07-26
867,805,5,700,2022-07-13
868,684,31,1423,2023-04-24
869,615,45,679,2023-08-16
870,580,22,1262,2022-11-03
871,429,22,333,2022-04-18
872,466,3,1016,2022-08-13
873,943,1,1309,2022-08-17
874,710,15,956,2023-10-01
875,219,16,985,2022-12-06
876,827,48,770,2022-07-30
877,410,12,1692,2022-01-07
878,372,1,152,2023-01-02
879,31,36,236,2022-05-26
880,298,29,399,2023-10-09
881,600,49,738,2022-02-14
882,999,2,408,2022-07-22
883,291,12,449,2022-09-26
884,737,12,696,2023-07-22
885,252,12,402,2022-01-23
886,181,17,1866,2022-04-14
887,22,44,282,2023-01-24
888,671,8,694,2022-08-04
889,313,30,492,2023-01-14
890,829,24,1354,2022-06-25
891,964,34,1637,2023-10-01
892,903,28,1799,2022-03-08
893,122,10,1808,2022-05-14
894,814,13,393,2023-06-30
895,388,45,767,2022-11-22
896,614,28,1303,2022-09-08
897,944,3,1563,2023-09-23
898,602,13,1750,2023-07-03
899,302,10,672,2022-09-11
900,55,41,1630,2022-10-14
